,Model,Scenario
492,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f
493,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_COV
494,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_COV_NDCp
495,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_NDCp
496,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f
497,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_COV
498,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_COV_NDCp
499,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_NDCp
500,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950_COV
501,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950_COV_NDCp
502,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950f_COV
503,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950f_COV_NDCp
504,MESSAGEix-GLOBIOM_1.1,EN_INDCi2100
505,MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_COV
506,MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_COV_NDCp
507,MESSAGEix-GLOBIOM_1.1,EN_INDCi2100_NDCp
508,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000
509,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_COV
510,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR10p
511,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR1p
512,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR2p
513,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR3p
514,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR4p
515,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f
516,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_COV
517,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR10p
518,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR1p
519,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR2p
520,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR3p
521,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR4p
522,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200
523,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200_COV
524,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200f
525,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1200f_COV
526,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400
527,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400_COV
528,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400f
529,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1400f_COV
530,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600
531,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600_COV
532,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600f
533,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1600f_COV
534,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800
535,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800_COV
536,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800f
537,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1800f_COV
538,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000
539,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000_COV
540,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000f
541,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2000f_COV
542,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f
543,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500
544,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500_COV
545,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500f
546,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_2500f_COV
547,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000
548,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000_COV
549,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000f
550,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_3000f_COV
551,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f
552,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f
553,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450
554,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f
555,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500
556,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f
557,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600
558,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV
559,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p
560,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p
561,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p
562,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p
563,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p
564,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f
565,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV
566,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p
567,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p
568,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p
569,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p
570,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p
571,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700
572,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV
573,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f
574,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV
575,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800
576,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800_COV
577,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800f
578,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800f_COV
579,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900
580,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900_COV
581,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900f
582,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_900f_COV
583,MESSAGEix-GLOBIOM_1.1,EN_NPi2100
584,MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV
585,MESSAGEix-GLOBIOM_1.1,EN_NoPolicy
586,MESSAGEix-GLOBIOM_1.1,NGFS2_Below 2°C
587,MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies
588,MESSAGEix-GLOBIOM_1.1,NGFS2_Delayed Transition
589,MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies
590,MESSAGEix-GLOBIOM_1.1,NGFS2_Nationally Determined Contributions (NDCs)
591,MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050
592,MESSAGEix-GLOBIOM_1.2,COV_GreenPush
593,MESSAGEix-GLOBIOM_1.2,COV_GreenPush_1000
594,MESSAGEix-GLOBIOM_1.2,COV_GreenPush_550
595,MESSAGEix-GLOBIOM_1.2,COV_GreenPush_max_GDP
596,MESSAGEix-GLOBIOM_1.2,COV_GreenPush_min_GDP
597,MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID
598,MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID_1000
599,MESSAGEix-GLOBIOM_1.2,COV_NoPolicyNoCOVID_550
600,MESSAGEix-GLOBIOM_1.2,COV_Restore
601,MESSAGEix-GLOBIOM_1.2,COV_Restore_1000
602,MESSAGEix-GLOBIOM_1.2,COV_Restore_550
603,MESSAGEix-GLOBIOM_1.2,COV_SelfReliance
604,MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_1000
605,MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_550
606,MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_max_GDP
607,MESSAGEix-GLOBIOM_1.2,COV_SelfReliance_min_GDP
608,MESSAGEix-GLOBIOM_1.2,COV_SmartUse
609,MESSAGEix-GLOBIOM_1.2,COV_SmartUse_1000
610,MESSAGEix-GLOBIOM_1.2,COV_SmartUse_550
611,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15
612,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_50
613,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15
614,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50
615,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15
616,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50
617,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15
618,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50
619,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100
620,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120
621,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_15
622,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50
623,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80
624,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400
625,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450
626,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500
627,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550
628,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600
629,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_15
630,MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50
631,POLES ADVANCE,ADVANCE_2020_1.5C-2100
632,POLES ADVANCE,ADVANCE_2020_Med2C
633,POLES ADVANCE,ADVANCE_2020_WB2C
634,POLES ADVANCE,ADVANCE_2030_1.5C-2100
635,POLES ADVANCE,ADVANCE_2030_Med2C
636,POLES ADVANCE,ADVANCE_2030_Price1.5C
637,POLES ADVANCE,ADVANCE_2030_WB2C
638,POLES ADVANCE,ADVANCE_INDC
639,POLES ADVANCE,ADVANCE_NoPolicy
640,POLES ADVANCE,ADVANCE_Reference
641,POLES CD-LINKS,CD-LINKS_NoPolicy
642,POLES EMF30,EMF30_BCOC-EndU
643,POLES EMF30,EMF30_Baseline
644,POLES EMF30,EMF30_D_BCOC-Red
645,POLES EMF30,EMF30_D_CO2-Only
646,POLES EMF30,EMF30_D_Frozen-CH4
647,POLES EMF30,EMF30_D_Frozen-EF
648,POLES EMF30,EMF30_D_Frozen-EF-EndU
649,POLES EMF30,EMF30_D_Frozen-EF-SLCF
650,POLES EMF30,EMF30_Slower-to-faster
651,POLES EMF33,EMF33_Baseline
652,POLES EMF33,EMF33_Med2C_cost100
653,POLES EMF33,EMF33_Med2C_full
654,POLES EMF33,EMF33_Med2C_limbio
655,POLES EMF33,EMF33_Med2C_nobeccs
656,POLES EMF33,EMF33_Med2C_nofuel
657,POLES EMF33,EMF33_Med2C_none
658,POLES EMF33,EMF33_WB2C_cost100
659,POLES EMF33,EMF33_WB2C_full
660,POLES EMF33,EMF33_WB2C_nofuel
661,POLES EMF33,EMF33_tax_hi_full
662,POLES EMF33,EMF33_tax_hi_none
663,POLES EMF33,EMF33_tax_lo_full
664,POLES EMF33,EMF33_tax_lo_none
665,POLES ENGAGE,EN_INDCi2030_1000
666,POLES ENGAGE,EN_INDCi2030_1000_COV
667,POLES ENGAGE,EN_INDCi2030_1000_COV_NDCp
668,POLES ENGAGE,EN_INDCi2030_1000_NDCp
669,POLES ENGAGE,EN_INDCi2030_1000f
670,POLES ENGAGE,EN_INDCi2030_1000f_COV
671,POLES ENGAGE,EN_INDCi2030_1000f_COV_NDCp
672,POLES ENGAGE,EN_INDCi2030_1000f_NDCp
673,POLES ENGAGE,EN_INDCi2030_1200
674,POLES ENGAGE,EN_INDCi2030_1200f
675,POLES ENGAGE,EN_INDCi2030_1400
676,POLES ENGAGE,EN_INDCi2030_1400f
677,POLES ENGAGE,EN_INDCi2030_1600
678,POLES ENGAGE,EN_INDCi2030_1600f
679,POLES ENGAGE,EN_INDCi2030_1800
680,POLES ENGAGE,EN_INDCi2030_1800f
681,POLES ENGAGE,EN_INDCi2030_2000
682,POLES ENGAGE,EN_INDCi2030_2000f
683,POLES ENGAGE,EN_INDCi2030_2500
684,POLES ENGAGE,EN_INDCi2030_2500f
685,POLES ENGAGE,EN_INDCi2030_3000
686,POLES ENGAGE,EN_INDCi2030_3000f
687,POLES ENGAGE,EN_INDCi2030_300f
688,POLES ENGAGE,EN_INDCi2030_400f
689,POLES ENGAGE,EN_INDCi2030_500f
690,POLES ENGAGE,EN_INDCi2030_600f
691,POLES ENGAGE,EN_INDCi2030_600f_COV
692,POLES ENGAGE,EN_INDCi2030_600f_COV_NDCp
693,POLES ENGAGE,EN_INDCi2030_600f_NDCp
694,POLES ENGAGE,EN_INDCi2030_700f
695,POLES ENGAGE,EN_INDCi2030_800f
696,POLES ENGAGE,EN_INDCi2030_900
697,POLES ENGAGE,EN_INDCi2030_900f
698,POLES ENGAGE,EN_INDCi2100
699,POLES ENGAGE,EN_INDCi2100_COV
700,POLES ENGAGE,EN_INDCi2100_COV_NDCp
701,POLES ENGAGE,EN_INDCi2100_NDCp
702,POLES ENGAGE,EN_NPi2020_1000
703,POLES ENGAGE,EN_NPi2020_1000_COV
704,POLES ENGAGE,EN_NPi2020_1000f
705,POLES ENGAGE,EN_NPi2020_1000f_COV
706,POLES ENGAGE,EN_NPi2020_1200
707,POLES ENGAGE,EN_NPi2020_1200f
708,POLES ENGAGE,EN_NPi2020_1400
709,POLES ENGAGE,EN_NPi2020_1400f
710,POLES ENGAGE,EN_NPi2020_1600
711,POLES ENGAGE,EN_NPi2020_1600f
712,POLES ENGAGE,EN_NPi2020_1800
713,POLES ENGAGE,EN_NPi2020_1800f
714,POLES ENGAGE,EN_NPi2020_2000
715,POLES ENGAGE,EN_NPi2020_2000f
716,POLES ENGAGE,EN_NPi2020_2500
717,POLES ENGAGE,EN_NPi2020_2500f
718,POLES ENGAGE,EN_NPi2020_3000
719,POLES ENGAGE,EN_NPi2020_3000f
720,POLES ENGAGE,EN_NPi2020_300f
721,POLES ENGAGE,EN_NPi2020_400f
722,POLES ENGAGE,EN_NPi2020_500
723,POLES ENGAGE,EN_NPi2020_500f
724,POLES ENGAGE,EN_NPi2020_600
725,POLES ENGAGE,EN_NPi2020_600f
726,POLES ENGAGE,EN_NPi2020_600f_COV
727,POLES ENGAGE,EN_NPi2020_700
728,POLES ENGAGE,EN_NPi2020_700f
729,POLES ENGAGE,EN_NPi2020_800
730,POLES ENGAGE,EN_NPi2020_800f
731,POLES ENGAGE,EN_NPi2020_900
732,POLES ENGAGE,EN_NPi2020_900f
733,POLES ENGAGE,EN_NPi2100
734,POLES ENGAGE,EN_NPi2100_COV
735,POLES GECO2019,CO_2Deg2020
736,POLES GECO2019,CO_2Deg2030
737,POLES GECO2019,CO_BAU
738,POLES GECO2019,CO_Bridge
739,POLES GECO2019,CO_Bridge_notax
740,POLES GECO2019,CO_CurPol
741,POLES GECO2019,CO_GPP
742,POLES GECO2019,CO_GPP_notax
743,POLES GECO2019,CO_NDC_2050convergence
744,POLES GECO2019,CO_NDCplus
745,REMIND 1.6,EMF30_BCOC-EndU
746,REMIND 1.6,EMF30_Baseline
747,REMIND 1.6,EMF30_CH4-Only
748,REMIND 1.6,EMF30_D_BCOC-Red
749,REMIND 1.6,EMF30_D_CH4-ClimPolicy
750,REMIND 1.6,EMF30_D_Frozen-CH4
751,REMIND 1.6,EMF30_D_Frozen-EF
752,REMIND 1.6,EMF30_D_Frozen-EF-EndU
753,REMIND 1.6,EMF30_D_Frozen-EF-SLCF
754,REMIND 1.6,EMF30_SLCF
755,REMIND 1.6,EMF30_Slower-Action
756,REMIND 1.6,EMF30_Slower-Action+SLCF
757,REMIND 1.6,EMF30_Slower-to-faster
758,REMIND 1.6,EMF30_Slower-to-faster+SLCF
759,REMIND 1.6,EMF30_Slower-to-faster+SLCF+HFC
760,REMIND 1.7,ADVANCE_2020_1.5C-2100
761,REMIND 1.7,ADVANCE_2020_Med2C
762,REMIND 1.7,ADVANCE_2020_WB2C
763,REMIND 1.7,ADVANCE_2030_1.5C-2100
764,REMIND 1.7,ADVANCE_2030_Med2C
765,REMIND 1.7,ADVANCE_2030_Price1.5C
766,REMIND 1.7,ADVANCE_2030_WB2C
767,REMIND 1.7,ADVANCE_INDC
768,REMIND 1.7,ADVANCE_NoPolicy
769,REMIND 1.7,ADVANCE_Reference
770,REMIND 1.7,CEMICS-1.5-CDR12
771,REMIND 1.7,CEMICS-1.5-CDR20
772,REMIND 1.7,CEMICS-1.5-CDR8
773,REMIND 1.7,CEMICS-2.0-CDR12
774,REMIND 1.7,CEMICS-2.0-CDR20
775,REMIND 1.7,CEMICS-2.0-CDR8
776,REMIND 1.7,CEMICS-Ref
777,REMIND 2.1,CEMICS_GDPgrowth_1p5
778,REMIND 2.1,CEMICS_GDPgrowth_2C
779,REMIND 2.1,CEMICS_HotellingConst_1p5
780,REMIND 2.1,CEMICS_HotellingConst_2C
781,REMIND 2.1,CEMICS_Linear_1p5
782,REMIND 2.1,CEMICS_Linear_2C
783,REMIND 2.1,CEMICS_NPI
784,REMIND 2.1,CEMICS_opt_1p5
785,REMIND 2.1,CEMICS_opt_2C
786,REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP1_P50
787,REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP2_P50
788,REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP5_P50
789,REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP1_P50
790,REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP2_P50
791,REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP5_P50
792,REMIND 2.1,LeastTotalCost_CBA_brkLR15_SSP2_P50
793,REMIND 2.1,LeastTotalCost_CBA_brkSR15_SSP2_P50
794,REMIND 2.1,LeastTotalCost_CEA_brkLR15_SSP2_P50
795,REMIND 2.1,LeastTotalCost_CEA_brkSR15_SSP2_P50
796,REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP1_P50
797,REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP2_P50
798,REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP5_P50
799,REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP1_P50
800,REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP2_P50
801,REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP5_P50
802,REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50
803,REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50
804,REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50
805,REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP2_P50
806,REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP5_P50
807,REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50
808,REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP2_P50
809,REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP5_P50
810,REMIND 2.1,R2p1_SSP1-Base
811,REMIND 2.1,R2p1_SSP1-NDC
812,REMIND 2.1,R2p1_SSP1-NPi
813,REMIND 2.1,R2p1_SSP1-PkBudg1100
814,REMIND 2.1,R2p1_SSP1-PkBudg1300
815,REMIND 2.1,R2p1_SSP1-PkBudg900
816,REMIND 2.1,R2p1_SSP2-Base
817,REMIND 2.1,R2p1_SSP2-NDC
818,REMIND 2.1,R2p1_SSP2-NPi
819,REMIND 2.1,R2p1_SSP2-PkBudg1100
820,REMIND 2.1,R2p1_SSP2-PkBudg1300
821,REMIND 2.1,R2p1_SSP2-PkBudg900
822,REMIND 2.1,R2p1_SSP5-Base
823,REMIND 2.1,R2p1_SSP5-NDC
824,REMIND 2.1,R2p1_SSP5-NPi
825,REMIND 2.1,R2p1_SSP5-PkBudg1100
826,REMIND 2.1,R2p1_SSP5-PkBudg1300
827,REMIND 2.1,R2p1_SSP5-PkBudg900
828,REMIND 2.1,TechCost-SSP2-B1100-bioH
829,REMIND 2.1,TechCost-SSP2-B1100-ccsH
830,REMIND 2.1,TechCost-SSP2-B1100-coalH
831,REMIND 2.1,TechCost-SSP2-B1100-elh2H
832,REMIND 2.1,TechCost-SSP2-B1100-gasH
833,REMIND 2.1,TechCost-SSP2-B1100-nucH
834,REMIND 2.1,TechCost-SSP2-B1100-oilH
835,REMIND 2.1,TechCost-SSP2-B1100-spvH
836,REMIND 2.1,TechCost-SSP2-B1100-windH
837,REMIND-Buildings 2.0,BEG-Base
838,REMIND-Buildings 2.0,BEG-Budg600
839,REMIND-Buildings 2.0,BEG-Budg600-EG
840,REMIND-Buildings 2.0,BEG-EG
841,REMIND-MAgPIE 1.5,SSP1-19
842,REMIND-MAgPIE 1.5,SSP1-26
843,REMIND-MAgPIE 1.5,SSP1-34
844,REMIND-MAgPIE 1.5,SSP1-45
845,REMIND-MAgPIE 1.5,SSP1-Baseline
846,REMIND-MAgPIE 1.5,SSP2-19
847,REMIND-MAgPIE 1.5,SSP2-26
848,REMIND-MAgPIE 1.5,SSP2-34
849,REMIND-MAgPIE 1.5,SSP2-45
850,REMIND-MAgPIE 1.5,SSP2-60
851,REMIND-MAgPIE 1.5,SSP2-Baseline
852,REMIND-MAgPIE 1.5,SSP5-19
853,REMIND-MAgPIE 1.5,SSP5-26
854,REMIND-MAgPIE 1.5,SSP5-34
855,REMIND-MAgPIE 1.5,SSP5-45
856,REMIND-MAgPIE 1.5,SSP5-60
857,REMIND-MAgPIE 1.5,SSP5-Baseline
858,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000
859,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1600
860,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400
861,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDCi
862,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NDC2030i_1000
863,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi
864,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000
865,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1600
866,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400
867,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NoPolicy
868,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020
869,REMIND-MAgPIE 1.7-3.0,CO_2Deg2030
870,REMIND-MAgPIE 1.7-3.0,CO_BAU
871,REMIND-MAgPIE 1.7-3.0,CO_Bridge
872,REMIND-MAgPIE 1.7-3.0,CO_CurPol
873,REMIND-MAgPIE 1.7-3.0,CO_GPP
874,REMIND-MAgPIE 1.7-3.0,CO_NDCplus
875,REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_cost100
876,REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_full
877,REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_nofuel
878,REMIND-MAgPIE 1.7-3.0,EMF33_Baseline
879,REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_cost100
880,REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_full
881,REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_limbio
882,REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nobeccs
883,REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nofuel
884,REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_none
885,REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_cost100
886,REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_full
887,REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_limbio
888,REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nobeccs
889,REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nofuel
890,REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_none
891,REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_full
892,REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_none
893,REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_full
894,REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_none
895,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC
896,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff
897,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice
898,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero
899,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff
900,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC
901,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff
902,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice
903,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero
904,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC
905,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff
906,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice
907,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero
908,REMIND-MAgPIE 1.7-3.0,PEP_NDC
909,REMIND-MAgPIE 1.7-3.0,PEP_NPi
910,REMIND-MAgPIE 1.7-3.0,PEP_NoPolicy
911,REMIND-MAgPIE 1.7-3.0,PEP_goodpractice
912,REMIND-MAgPIE 1.7-3.0,PEP_netzero
913,REMIND-MAgPIE 1.7-3.0,SMP_2C_lifesty
914,REMIND-MAgPIE 1.7-3.0,SMP_REF_Def
915,REMIND-MAgPIE 1.7-3.0,SMP_REF_Sust
916,REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_hybrid_def
917,REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def
918,REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_uniform-pricing_def
919,REMIND-MAgPIE 2.0-4.1,Diff_No-policy_baseline
920,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR
921,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR
922,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi
923,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR
924,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR
925,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-fullCDR
926,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-minCDR
927,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-Npi
928,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000
929,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV
930,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV_NDCp
931,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_NDCp
932,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f
933,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV
934,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV_NDCp
